cases/pglib-opf/pglib_opf_case588_sdet.m
ipopt
ACT
[warn | PowerModels]: no active generators found at bus 407, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 371, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 168, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 159, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 160, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 359, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 9, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 167, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 401, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 458, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 85, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 309, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 400, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 480, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 142, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 445, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 157, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 457, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 248, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 68, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 180, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 135, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 355, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 356, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 237, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 315, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 441, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 369, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 375, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 132, updating to bus type from 2 to 1
