cases/pglib-opf/pglib_opf_case1888_rte.m
ipopt
ACT
[warn | PowerModels]: active generators found at bus 14, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 876, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 885, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 448, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 1118, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 82, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 1320, updating to bus type from 3 to 1
[warn | PowerModels]: no active generators found at bus 58, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1005, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 1724, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 858, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 1689, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1776, updating to bus type from 2 to 1
[warn | PowerModels]: no reference bus found, setting bus 1675 as reference based on generator 112
[warn | PowerModels]: the voltage setpoint on generator 54 does not match the value at bus 1631
[warn | PowerModels]: the voltage setpoint on generator 228 does not match the value at bus 1745
[warn | PowerModels]: the voltage setpoint on generator 26 does not match the value at bus 885
[warn | PowerModels]: the voltage setpoint on generator 230 does not match the value at bus 1961
[warn | PowerModels]: the voltage setpoint on generator 43 does not match the value at bus 471
[warn | PowerModels]: the voltage setpoint on generator 112 does not match the value at bus 1675
[warn | PowerModels]: the voltage setpoint on generator 9 does not match the value at bus 817
[warn | PowerModels]: the voltage setpoint on generator 172 does not match the value at bus 1718
[warn | PowerModels]: the voltage setpoint on generator 192 does not match the value at bus 1923
[warn | PowerModels]: the voltage setpoint on generator 292 does not match the value at bus 1791
[warn | PowerModels]: the voltage setpoint on generator 14 does not match the value at bus 858
[warn | PowerModels]: the voltage setpoint on generator 167 does not match the value at bus 1713
[warn | PowerModels]: the voltage setpoint on generator 242 does not match the value at bus 1757
[warn | PowerModels]: the voltage setpoint on generator 239 does not match the value at bus 1754
[warn | PowerModels]: the voltage setpoint on generator 35 does not match the value at bus 1118
[warn | PowerModels]: the voltage setpoint on generator 263 does not match the value at bus 1772
[warn | PowerModels]: the voltage setpoint on generator 45 does not match the value at bus 1321
[warn | PowerModels]: the voltage setpoint on generator 105 does not match the value at bus 1669
[warn | PowerModels]: the voltage setpoint on generator 3 does not match the value at bus 1356
[warn | PowerModels]: the voltage setpoint on generator 81 does not match the value at bus 1651
[warn | PowerModels]: the voltage setpoint on generator 27 does not match the value at bus 876
[warn | PowerModels]: the voltage setpoint on generator 208 does not match the value at bus 1944
[warn | PowerModels]: the voltage setpoint on generator 291 does not match the value at bus 1790
[warn | PowerModels]: the voltage setpoint on generator 80 does not match the value at bus 1650
[warn | PowerModels]: the voltage setpoint on generator 200 does not match the value at bus 1932
[warn | PowerModels]: the voltage setpoint on generator 171 does not match the value at bus 1717
[warn | PowerModels]: the voltage setpoint on generator 273 does not match the value at bus 1778
[warn | PowerModels]: the voltage setpoint on generator 61 does not match the value at bus 1633
[warn | PowerModels]: the voltage setpoint on generator 46 does not match the value at bus 1829
[warn | PowerModels]: the voltage setpoint on generator 251 does not match the value at bus 1975
[warn | PowerModels]: the voltage setpoint on generator 103 does not match the value at bus 1667
[warn | PowerModels]: the voltage setpoint on generator 264 does not match the value at bus 1995
[warn | PowerModels]: the voltage setpoint on generator 217 does not match the value at bus 1736
[warn | PowerModels]: the voltage setpoint on generator 53 does not match the value at bus 1630
[warn | PowerModels]: the voltage setpoint on generator 106 does not match the value at bus 1670
[warn | PowerModels]: the voltage setpoint on generator 111 does not match the value at bus 1674
[warn | PowerModels]: the voltage setpoint on generator 278 does not match the value at bus 1781
[warn | PowerModels]: the voltage setpoint on generator 62 does not match the value at bus 1634
[warn | PowerModels]: the voltage setpoint on generator 226 does not match the value at bus 1743
[warn | PowerModels]: the voltage setpoint on generator 266 does not match the value at bus 1774
[warn | PowerModels]: the voltage setpoint on generator 268 does not match the value at bus 1776
[warn | PowerModels]: the voltage setpoint on generator 6 does not match the value at bus 908
[warn | PowerModels]: the voltage setpoint on generator 125 does not match the value at bus 1683
[warn | PowerModels]: the voltage setpoint on generator 272 does not match the value at bus 1777
[warn | PowerModels]: the voltage setpoint on generator 7 does not match the value at bus 817
[warn | PowerModels]: the voltage setpoint on generator 69 does not match the value at bus 1641
[warn | PowerModels]: the voltage setpoint on generator 240 does not match the value at bus 1755
[warn | PowerModels]: the voltage setpoint on generator 193 does not match the value at bus 1924
[warn | PowerModels]: the voltage setpoint on generator 29 does not match the value at bus 803
[warn | PowerModels]: the voltage setpoint on generator 78 does not match the value at bus 1648
[warn | PowerModels]: the voltage setpoint on generator 28 does not match the value at bus 46
[warn | PowerModels]: the voltage setpoint on generator 52 does not match the value at bus 1844
[warn | PowerModels]: the voltage setpoint on generator 25 does not match the value at bus 885
[warn | PowerModels]: the voltage setpoint on generator 279 does not match the value at bus 1782
[warn | PowerModels]: the voltage setpoint on generator 44 does not match the value at bus 1321
[warn | PowerModels]: the voltage setpoint on generator 82 does not match the value at bus 1652
[warn | PowerModels]: the voltage setpoint on generator 79 does not match the value at bus 1649
[warn | PowerModels]: the voltage setpoint on generator 216 does not match the value at bus 1735
[warn | PowerModels]: the voltage setpoint on generator 104 does not match the value at bus 1668
[warn | PowerModels]: the voltage setpoint on generator 124 does not match the value at bus 1682
[warn | PowerModels]: the voltage setpoint on generator 185 does not match the value at bus 1723
[warn | PowerModels]: the voltage setpoint on generator 267 does not match the value at bus 1775
[warn | PowerModels]: the voltage setpoint on generator 8 does not match the value at bus 817
[warn | PowerModels]: the voltage setpoint on generator 198 does not match the value at bus 1729
[warn | PowerModels]: the voltage setpoint on generator 222 does not match the value at bus 1741
[warn | PowerModels]: the voltage setpoint on generator 40 does not match the value at bus 474
[warn | PowerModels]: the voltage setpoint on generator 138 does not match the value at bus 1690
[info | PowerModels]: removing 1 cost terms from generator 1: [3687.9613999999997, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 54: [3583.3663, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 101: [3231.1689, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 41: [8979.4302, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 65: [3301.5135999999998, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 168: [2216.6895, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 159: [10666.8799, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 228: [1612.1548, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 190: [12535.872299999999, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 227: [3770.3538000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 270: [647.427, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 223: [744.3288, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 88: [2987.9728, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 297: [3865.2489000000005, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 26: [1397.5616, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 289: [4314.4225, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 250: [2597.4471000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 77: [10665.2079, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 230: [3066.9454, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 24: [3132.3377, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 258: [2582.7509, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 204: [12184.7407, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 23: [3148.3516, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 160: [9719.1384, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 149: [11250.1633, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 59: [4492.4115, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 184: [1923.5965, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 43: [3447.3233999999998, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 122: [3025.3167000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 253: [3932.4384999999997, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 175: [5297.7338, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 39: [4158.980799999999, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 143: [3435.3015, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 112: [2540.5366, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 34: [3430.1794, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 293: [3233.6169, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 137: [4147.5369, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 55: [11943.1558, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 17: [4533.5599, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 243: [5118.6207, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 9: [2158.6989, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 172: [681.3815, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 12: [11072.11, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 192: [3747.0049000000004, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 20: [3062.2515, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 292: [3358.9452, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 252: [4102.901, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 14: [3060.1438000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 167: [3040.8853, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 127: [2831.47, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 96: [3909.167, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 123: [2585.3896, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 177: [3241.2444, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 254: [3036.0941000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 257: [4451.305700000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 19: [3075.7753000000002, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 179: [2393.7604, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 242: [2040.4845000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 260: [10598.7833, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 239: [1563.6607, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 35: [4486.095600000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 197: [10334.246299999999, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 131: [3429.9742, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 276: [11887.5628, 0.0]
